Sample_Number,Sample ID,L_Tron,T_Ment,T_Ment#,Week,Date (DD-MM-YYYY),Time (24:00),Nutrient sampled,Well-plate,Depth,Equipment Used,Sample Vol (mL),Who? (Initials) ,Notes
50,50 - SRP/NH4/NO3/NO2,7,Heat,2,2,20-07-2023,14:50,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
51,51 - Particulate C/N/P,7,Heat,2,2,20-07-2023,14:50,Particulate C/N/P,C3,Integrated,Zoop Tube,30,HC/AA,
52,52 - TP/TN,9,Salt + Heat,2,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
53,53 - SRP/NH4/NO3/NO2,9,Salt + Heat,2,2,20-07-2023,14:50,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
54,54 - Particulate C/N/P,9,Salt + Heat,2,2,20-07-2023,14:50,Particulate C/N/P,C4,Integrated,Zoop Tube,30,HC/AA,
55,55 - TP/TN,9,Control,3,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
56,56 - SRP/NH4/NO3/NO2,9,Control,3,2,20-07-2023,14:50,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
57,57 - Particulate C/N/P,9,Control,3,2,20-07-2023,14:50,Particulate C/N/P,C5,Integrated,Zoop Tube,30,HC/AA,
58,58 - Blank TP/TN,na,Blank,na,2,20-07-2023,14:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,DI Water
59,59 - Blank SRP/NH4/NO3/NO2,na,Blank,na,2,20-07-2023,14:55,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,DI Water
60,60 - Particulate C/N/P,na,Blank,na,2,20-07-2023,14:55,Particulate C/N/P,C6,Integrated,Zoop Tube,30,HC/AA,
61,61 - TP/TN,1,Salt,1,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
62,62 - SRP/NH4/NO3/NO2,1,Salt,1,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
63,63 - Particulate C/N/P,1,Salt,1,3,26-07-2023,14:52,Particulate C/N/P,A12,Integrated,Zoop Tube,30,HC/AA,
64,64 - TP/TN,2,Control,1,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
65,65 - SRP/NH4/NO3/NO2,2,Control,1,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
66,66 - Particulate C/N/P,2,Control,1,3,26-07-2023,14:52,Particulate C/N/P,B1,Integrated,Zoop Tube,30,HC/AA,
67,67 - TP/TN,3,Salt + Heat,1,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
68,68 - SRP/NH4/NO3/NO2,3,Salt + Heat,1,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
69,69 - Particulate C/N/P,3,Salt + Heat,1,3,26-07-2023,14:52,Particulate C/N/P,B2,Integrated,Zoop Tube,30,HC/AA,
70,70 - TP/TN,4,Heat,1,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
71,71 - SRP/NH4/NO3/NO2,4,Heat,1,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
72,72 - Particulate C/N/P,4,Heat,1,3,26-07-2023,14:52,Particulate C/N/P,B3,Integrated,Zoop Tube,30,HC/AA,Ball rolled on lab
73,73 - TP/TN,5,Control,2,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
74,74 - SRP/NH4/NO3/NO2,5,Control,2,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
75,75 - Particulate C/N/P,5,Control,2,3,26-07-2023,14:52,Particulate C/N/P,B4,Integrated,Zoop Tube,30,HC/AA,**Handwritten label
76,76 - TP/TN,6,Salt,2,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
77,77 - SRP/NH4/NO3/NO2,6,Salt,2,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
78,78 - Particulate C/N/P,6,Salt,2,3,26-07-2023,14:52,Particulate C/N/P,B5,Integrated,Zoop Tube,30,HC/AA,
79,79 - TP/TN,7,Heat,2,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
80,80 - SRP/NH4/NO3/NO2,7,Heat,2,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
81,81 - Particulate C/N/P,7,Heat,2,3,26-07-2023,14:52,Particulate C/N/P,B6,Integrated,Zoop Tube,30,HC/AA,
82,82 - TP/TN,8,Salt + Heat,2,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
83,83 - SRP/NH4/NO3/NO2,8,Salt + Heat,2,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
84,84 - Particulate C/N/P,8,Salt + Heat,2,3,26-07-2023,14:52,Particulate C/N/P,B7,Integrated,Zoop Tube,30,HC/AA,
85,85 - TP/TN,9,Control,3,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
86,86 - SRP/NH4/NO3/NO2,9,Control,3,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
87,87 - Particulate C/N/P,9,Control,3,3,26-07-2023,14:52,Particulate C/N/P,B8,Integrated,Zoop Tube,30,HC/AA,
88,88 - Blank TP/TN,na,Blank,na,3,26-07-2023,14:52,TP/TN,,Integrated,Zoop Tube,15,HC/AA,DI Water
89,89 - Blank SRP/NH4/NO3/NO2,na,Blank,na,3,26-07-2023,14:52,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,DI Water
90,90 - Particulate C/N/P,na,Blank,na,3,26-07-2023,14:52,Particulate C/N/P,A11,Integrated,Zoop Tube,30,HC/AA,
91,91 - TP/TN,1,Salt,1,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
92,92 - SRP/NH4/NO3/NO2,1,Salt,1,4,1/8/2023,14:32,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
93,93 - Particulate C/N/P,1,Salt,1,4,1/8/2023,14:32,Particulate C/N/P,D6,Integrated,Zoop Tube,400,HC/AA,
94,94 - TP/TN,2,Control,1,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
95,95 - SRP/NH4/NO3/NO2,2,Control,1,4,1/8/2023,14:32,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
96,96 - Particulate C/N/P,2,Control,1,4,1/8/2023,14:32,Particulate C/N/P,D5,Integrated,Zoop Tube,400,HC/AA,
97,97 - TP/TN,3,Salt + Heat,1,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
98,98 - SRP/NH4/NO3/NO2,3,Salt + Heat,1,4,1/8/2023,15:19,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
99,99 - Particulate C/N/P,3,Salt + Heat,1,4,1/8/2023,15:19,Particulate C/N/P,D7,Integrated,Zoop Tube,400,HC/AA,
100,100 - TP/TN,4,Heat,1,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
101,101 - SRP/NH4/NO3/NO2,4,Heat,1,4,1/8/2023,15:26,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
102,102 - Particulate C/N/P,4,Heat,1,4,1/8/2023,15:26,Particulate C/N/P,D8,Integrated,Zoop Tube,400,HC/AA,
103,103 - TP/TN,5,Control,2,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
104,104 - SRP/NH4/NO3/NO2,5,Control,2,4,1/8/2023,15:42,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
105,105 - Particulate C/N/P,5,Control,2,4,1/8/2023,15:42,Particulate C/N/P,D9,Integrated,Zoop Tube,400,HC/AA,
106,106 - TP/TN,6,Salt,2,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
107,107 - SRP/NH4/NO3/NO2,6,Salt,2,4,1/8/2023,15:48,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
108,108 - Particulate C/N/P,6,Salt,2,4,1/8/2023,15:48,Particulate C/N/P,D10,Integrated,Zoop Tube,400,HC/AA,
109,109 - TP/TN,7,Heat,2,4,1/8/2023,12:03,TP/TN,,Integrated,Zoop Tube,15,HC/AA,
110,110 - SRP/NH4/NO3/NO2,7,Heat,2,4,1/8/2023,16:07,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AA,
